shipment_id,order_date,vehicle_type,region,weather_condition,distance_km,delivery_time_hr,delivery_cost,customer_rating
SHIP1302,2026-03-30 02:00:00,Truck,North,,17.3,3.54,534.16,1.0
SHIP1303,2026-03-30 09:00:00,Bike,North,Clear,19.22,1.91,458.04,5.0
SHIP1304,2026-03-30 16:00:00,Bike,North,Fog,22.71,2.16,536.69,3.0
SHIP1305,2026-03-30 23:00:00,Mini-Truck,North,Clear,22.07,4.4,342.66,4.0
SHIP1306,2026-03-31 06:00:00,Truck,South,Fog,-1.45,3.7,620.94,5.0
SHIP1307,2026-03-31 13:00:00,Van,Central,Clear,17.22,5.01,533.71,3.0
SHIP1308,2026-03-31 20:00:00,Bike,East,Fog,5.92,3.85,527.56,4.0
SHIP1309,2026-04-01 03:00:00,Van,East,Rain,15.79,2.08,315.88,3.0
SHIP1310,2026-04-01 10:00:00,Truck,East,Clear,17.01,2.87,,5.0
SHIP1311,2026-04-01 17:00:00,van,East,Clear,25.81,4.18,448.35,2.0
SHIP1312,2026-04-02 00:00:00,Van,South,Fog,17.76,4.35,537.37,5.0
SHIP1313,2026-04-02 07:00:00,Mini-Truck,West,Storm,20.07,4.53,411.26,1.0
SHIP1314,2026-04-02 14:00:00,Bike,Central,Clear,24.34,2.24,481.31,3.0
SHIP1315,2026-04-02 21:00:00,Bike,North,Rain,27.82,2.06,485.66,2.0
SHIP1316,2026-04-03 04:00:00,Truck,West,Fog,17.02,3.27,111.61,3.0
SHIP1317,2026-04-03 11:00:00,Van,East,Fog,18.75,5.23,519.89,3.0
SHIP1318,2026-04-03 18:00:00,Van,West,Storm,18.08,2.67,685.84,4.0
SHIP1319,2026-04-04 01:00:00,Van,Central,Rain,13.66,4.05,514.77,1.0
SHIP1320,2026-04-04 08:00:00,Truck,North,Clear,11.85,4.05,335.08,3.0
SHIP1321,2026-04-04 15:00:00,Bike,North,Clear,-0.18,4.41,528.0,
SHIP1322,2026-04-04 22:00:00,Bike,Central,Clear,,5.5,,5.0
SHIP1323,2026-04-05 05:00:00,Van,Central,Rain,3.77,5.37,511.5,4.0
SHIP1324,2026-04-05 12:00:00,Mini-Truck,East,Rain,28.04,2.79,441.1,1.0
SHIP1325,2026-04-05 19:00:00,Bike,North,Clear,,0.98,420.94,1.0
SHIP1326,2026-04-06 02:00:00,Truck,West,Fog,16.99,2.69,420.44,5.0
SHIP1327,2026-04-06 09:00:00,Bike,South,Rain,12.26,3.59,533.73,2.0
SHIP1328,2026-04-06 16:00:00,Truck,South,Clear,18.24,3.07,281.15,4.0
SHIP1329,2026-04-06 23:00:00,Van,Central,Clear,11.22,5.86,405.38,4.0
SHIP1330,2026-04-07 06:00:00,Truck,East,Clear,19.39,,641.47,5.0
SHIP1331,2026-04-07 13:00:00,Bike,South,Clear,19.97,4.28,646.1,5.0
SHIP1332,2026-04-07 20:00:00,Van,North,Clear,11.11,3.76,272.62,2.0
SHIP1333,2026-04-08 03:00:00,Van,Central,Clear,10.96,3.08,314.23,2.0
SHIP1334,2026-04-08 10:00:00,Van,West,Clear,25.7,1.19,417.53,1.0
SHIP1335,2026-04-08 17:00:00,Van,Central,Clear,17.58,3.41,557.11,4.0
SHIP1336,2026-04-09 00:00:00,Mini-Truck,West,Clear,11.75,7.41,230.7,4.0
SHIP1337,2026-04-09 07:00:00,Bike,Central,Clear,15.04,2.01,443.42,5.0
SHIP1338,2026-04-09 14:00:00,Truck,Central,Rain,9.92,1.32,393.1,1.0
SHIP1339,2026-04-09 21:00:00,Van,Central,Clear,,5.82,609.12,4.0
SHIP1340,2026-04-10 04:00:00,Truck,West,Fog,24.65,4.39,248.77,1.0
SHIP1341,2026-04-10 11:00:00,Truck,West,Storm,17.78,3.72,461.1,1.0
SHIP1342,2026-04-10 18:00:00,Van,Central,Clear,36.91,5.14,402.77,5.0
SHIP1343,2026-04-11 01:00:00,Truck,South,Clear,,2.5,626.38,1.0
SHIP1344,2026-04-11 08:00:00,Truck,East,Clear,19.84,3.37,521.72,2.0
SHIP1345,2026-04-11 15:00:00,Bike,East,Clear,10.73,4.65,379.7,2.0
SHIP1346,2026-04-11 22:00:00,Bike,East,Rain,16.09,6.03,552.41,3.0
SHIP1347,2026-04-12 05:00:00,Van,West,Clear,11.77,2.1,403.34,5.0
SHIP1348,2026-04-12 12:00:00,Truck,West,Clear,0.67,5.04,569.92,3.0
SHIP1349,2026-04-12 19:00:00,bike,South,Clear,25.79,3.96,421.55,2.0
SHIP1350,2026-04-13 02:00:00,Truck,East,Clear,13.91,3.7,576.56,3.0
SHIP1351,2026-04-13 09:00:00,Mini-Truck,East,Rain,11.92,3.49,502.33,5.0
SHIP1352,2026-04-13 16:00:00,Bike,Central,Clear,19.68,1.84,841.26,5.0
SHIP1353,2026-04-13 23:00:00,Van,West,Clear,334.551351249242,4.66,443.65,1.0
SHIP1354,2026-04-14 06:00:00,Van,East,Clear,15.43,2.56,495.94,4.0
SHIP1355,2026-04-14 13:00:00,Bike,South,Storm,17.98,2.2,392.47,1.0
SHIP1356,2026-04-14 20:00:00,Van,South,Clear,23.97,4.56,450.32,
SHIP1357,2026-04-15 03:00:00,truck,East,Clear,15.12,4.45,125.78,2.0
SHIP1358,2026-04-15 10:00:00,Mini-Truck,West,Rain,20.42,3.59,505.87,
SHIP1359,2026-04-15 17:00:00,Truck,South,Clear,4.73,4.8,611.14,1.0
SHIP1360,2026-04-16 00:00:00,Truck,Central,Storm,8.07,5.21,497.6,5.0
SHIP1361,2026-04-16 07:00:00,Bike,South,Rain,22.84,5.07,292.34,2.0
SHIP1362,2026-04-16 14:00:00,Truck,North,,7.65,2.87,353.79,
SHIP1363,2026-04-16 21:00:00,Truck,North,Rain,19.87,4.72,158.38,2.0
SHIP1364,2026-04-17 04:00:00,Mini-Truck,West,Storm,,3.75,567.47,5.0
SHIP1365,2026-04-17 11:00:00,Truck,East,Fog,15.08,5.57,329.22,3.0
SHIP1366,2026-04-17 18:00:00,Mini-Truck,West,Rain,11.37,3.35,446.55,5.0
SHIP1367,2026-04-18 01:00:00,Mini-Truck,West,Rain,25.27,3.07,431.55,5.0
SHIP1368,2026-04-18 08:00:00,Van,West,Clear,31.84,2.76,628.53,1.0
SHIP1369,2026-04-18 15:00:00,Van,West,Clear,20.4,3.73,460.23,3.0
SHIP1370,2026-04-18 22:00:00,Van,Central,Clear,20.58,,547.07,4.0
SHIP1371,2026-04-19 05:00:00,Van,Central,Clear,12.54,4.08,515.58,1.0
SHIP1372,2026-04-19 12:00:00,Van,South,Clear,8.43,3.92,613.13,4.0
SHIP1373,2026-04-19 19:00:00,Bike,North,Clear,,,421.31,2.0
SHIP1374,2026-04-20 02:00:00,Van,West,Clear,10.21,3.23,674.35,4.0
SHIP1375,2026-04-20 09:00:00,Van,South,Rain,3.82,2.45,211.72,5.0
SHIP1376,2026-04-20 16:00:00,Bike,North,Fog,24.43,,552.9,4.0
SHIP1377,2026-04-20 23:00:00,Van,East,Clear,24.82,4.67,346.01,1.0
SHIP1378,2026-04-21 06:00:00,Bike,Central,Clear,11.13,4.06,390.87,1.0
SHIP1379,2026-04-21 13:00:00,Van,North,Fog,19.95,1.27,,4.0
SHIP1380,2026-04-21 20:00:00,Van,East,,26.02,4.82,517.37,1.0
SHIP1381,2026-04-22 03:00:00,Bike,North,Fog,19.64,5.76,522.77,1.0
SHIP1382,2026-04-22 10:00:00,Bike,Central,Clear,8.45,2.64,283.66,4.0
SHIP1383,2026-04-22 17:00:00,Mini-Truck,Central,Clear,16.14,3.9,623.88,3.0
SHIP1384,2026-04-23 00:00:00,Bike,South,Storm,28.61,2.93,341.92,3.0
SHIP1385,2026-04-23 07:00:00,Bike,West,Clear,19.98,4.25,357.93,2.0
SHIP1386,2026-04-23 14:00:00,Van,North,Rain,22.31,2.1,526.55,1.0
SHIP1387,2026-04-23 21:00:00,Van,North,Fog,20.73,,415.59,4.0
SHIP1388,2026-04-24 04:00:00,Bike,East,Clear,11.16,4.68,486.99,1.0
SHIP1389,2026-04-24 11:00:00,Bike,Central,Rain,,,191.21,5.0
SHIP1390,2026-04-24 18:00:00,Mini-Truck,North,Storm,20.71,4.01,484.12,1.0
SHIP1391,2026-04-25 01:00:00,Truck,Central,Clear,24.53,3.09,476.14,1.0
SHIP1392,2026-04-25 08:00:00,Truck,North,Fog,26.8,1.59,388.82,3.0
SHIP1393,2026-04-25 15:00:00,Bike,South,Clear,11.14,,201.11,4.0
SHIP1394,2026-04-25 22:00:00,Van,West,Rain,21.46,2.94,424.46,1.0
SHIP1395,2026-04-26 05:00:00,Mini-Truck,North,Rain,27.5,2.66,445.52,3.0
SHIP1396,2026-04-26 12:00:00,Mini-Truck,Central,Clear,10.1,3.57,405.93,2.0
SHIP1397,2026-04-26 19:00:00,Truck,South,Fog,29.89,3.09,229.66,3.0
SHIP1398,2026-04-27 02:00:00,Bike,North,Fog,31.11,3.71,641.37,3.0
SHIP1399,2026-04-27 09:00:00,Bike,East,Rain,39.0,4.94,373.34,3.0
SHIP1400,2026-04-27 16:00:00,Van,West,Rain,19.85,3.01,423.34,1.0
SHIP1401,2026-04-27 23:00:00,Mini-Truck,North,Rain,19.89,1.84,160.86,1.0
SHIP1402,2026-04-28 06:00:00,Truck,South,Clear,24.62,2.66,641.38,2.0
SHIP1403,2026-04-28 13:00:00,Bike,East,Rain,24.38,4.2,394.01,5.0
SHIP1404,2026-04-28 20:00:00,Van,South,Clear,27.01,4.31,461.82,5.0
SHIP1405,2026-04-29 03:00:00,Mini-Truck,South,Clear,24.27,3.99,584.49,5.0
SHIP1406,2026-04-29 10:00:00,Truck,East,Rain,17.15,5.06,368.84,
SHIP1407,2026-04-29 17:00:00,Van,South,Clear,27.78,3.28,,5.0
SHIP1408,2026-04-30 00:00:00,Mini-Truck,East,Clear,9.43,5.96,202.64,
SHIP1409,2026-04-30 07:00:00,Van,North,Clear,18.05,4.48,516.12,3.0
SHIP1410,2026-04-30 14:00:00,Van,East,Clear,30.51,0.47,638.67,1.0
SHIP1411,2026-04-30 21:00:00,Mini-Truck,East,Rain,8.0,5.66,380.35,1.0
SHIP1412,2026-05-01 04:00:00,Mini-Truck,West,Clear,12.58,2.58,584.27,3.0
SHIP1413,2026-05-01 11:00:00,Truck,East,Rain,23.37,2.26,670.07,3.0
SHIP1414,2026-05-01 18:00:00,Bike,East,Clear,21.15,4.13,419.42,3.0
SHIP1415,2026-05-02 01:00:00,Truck,North,Rain,11.0,1.41,409.5,
SHIP1416,2026-05-02 08:00:00,Van,West,,14.67,2.67,342.2,5.0
SHIP1417,2026-05-02 15:00:00,Van,Central,Clear,8.55,5.37,388.83,3.0
SHIP1418,2026-05-02 22:00:00,Bike,North,Rain,25.84,4.17,352.16,2.0
SHIP1419,2026-05-03 05:00:00,bike,North,Fog,15.95,4.47,342.11,3.0
SHIP1420,2026-05-03 12:00:00,Bike,Central,Clear,32.34,2.71,593.86,4.0
SHIP1421,2026-05-03 19:00:00,Bike,East,,18.65,1.65,355.21,3.0
SHIP1422,2026-05-04 02:00:00,Van,South,Clear,16.24,4.35,481.02,1.0
SHIP1423,2026-05-04 09:00:00,Truck,West,Clear,15.47,4.62,454.59,3.0
SHIP1424,2026-05-04 16:00:00,Van,South,Rain,,4.56,629.77,4.0
SHIP1425,2026-05-04 23:00:00,Truck,Central,Clear,18.89,3.75,389.62,2.0
SHIP1426,2026-05-05 06:00:00,Truck,North,Clear,38.1,2.34,495.74,5.0
SHIP1427,2026-05-05 13:00:00,Mini-Truck,North,Clear,15.29,6.43,544.93,3.0
SHIP1428,2026-05-05 20:00:00,Truck,West,Clear,15.55,4.08,628.77,4.0
SHIP1429,2026-05-06 03:00:00,van,North,Clear,18.52,3.29,387.87,4.0
SHIP1430,2026-05-06 10:00:00,Van,North,Clear,26.72,3.3,,2.0
SHIP1431,2026-05-06 17:00:00,Bike,West,Clear,6.63,3.68,322.59,1.0
SHIP1432,2026-05-07 00:00:00,Bike,West,Clear,21.64,,718.36,3.0
SHIP1433,2026-05-07 07:00:00,Van,Central,Fog,11.46,,616.14,4.0
SHIP1434,2026-05-07 14:00:00,Van,North,Clear,22.43,4.53,444.94,2.0
SHIP1435,2026-05-07 21:00:00,Bike,North,Storm,14.05,3.68,681.77,5.0
SHIP1436,2026-05-08 04:00:00,Van,Central,Clear,-0.43,3.37,437.78,4.0
SHIP1437,2026-05-08 11:00:00,Bike,East,Fog,20.96,4.27,536.93,2.0
SHIP1438,2026-05-08 18:00:00,Bike,East,Rain,20.89,4.22,451.22,1.0
SHIP1439,2026-05-09 01:00:00,Van,East,Rain,13.37,3.3,497.74,1.0
SHIP1440,2026-05-09 08:00:00,Van,Central,Rain,12.89,2.6,485.01,4.0
SHIP1441,2026-05-09 15:00:00,Mini-Truck,North,Clear,7.51,3.91,399.0,4.0
SHIP1442,2026-05-09 22:00:00,Truck,Central,Clear,24.18,3.59,581.1,3.0
SHIP1443,2026-05-10 05:00:00,Truck,Central,Clear,25.06,2.83,535.91,2.0
SHIP1444,2026-05-10 12:00:00,Bike,East,Clear,10.97,2.49,,4.0
SHIP1445,2026-05-10 19:00:00,Mini-Truck,South,Clear,13.68,3.99,488.43,3.0
SHIP1446,2026-05-11 02:00:00,Mini-Truck,North,Clear,17.49,4.16,341.21,3.0
SHIP1447,2026-05-11 09:00:00,Bike,East,Rain,36.17,3.07,655.13,4.0
SHIP1448,2026-05-11 16:00:00,Truck,South,Clear,22.36,,418.49,1.0
SHIP1449,2026-05-11 23:00:00,Van,South,Rain,10.45,2.5,493.69,2.0
SHIP1450,2026-05-12 06:00:00,Bike,West,Rain,20.43,3.96,526.25,
SHIP1451,2026-05-12 13:00:00,Truck,North,Storm,6.99,2.54,492.89,1.0
SHIP1452,2026-05-12 20:00:00,Truck,South,Clear,23.74,6.19,559.85,4.0
SHIP1453,2026-05-13 03:00:00,Mini-Truck,East,Clear,31.4,3.01,578.81,2.0
SHIP1454,2026-05-13 10:00:00,Van,West,Clear,31.44,0.59,423.02,4.0
SHIP1455,2026-05-13 17:00:00,Truck,North,Clear,23.88,3.46,645.06,4.0
SHIP1456,2026-05-14 00:00:00,Van,Central,Fog,13.33,3.41,417.97,3.0
SHIP1457,2026-05-14 07:00:00,Truck,East,Clear,7.59,4.83,490.41,1.0
SHIP1458,2026-05-14 14:00:00,Van,South,Rain,6.8,3.85,403.48,4.0
SHIP1459,2026-05-14 21:00:00,Van,South,Clear,-4.45,2.5,369.18,5.0
SHIP1460,2026-05-15 04:00:00,Van,East,Rain,23.55,3.16,575.3,
SHIP1461,2026-05-15 11:00:00,Bike,South,Rain,17.18,3.89,824.63,2.0
SHIP1462,2026-05-15 18:00:00,Bike,West,Clear,25.27,0.9,406.59,3.0
SHIP1463,2026-05-16 01:00:00,Truck,North,Clear,29.42,5.11,595.84,2.0
SHIP1464,2026-05-16 08:00:00,Mini-Truck,West,Clear,18.8,2.5,410.89,2.0
SHIP1465,2026-05-16 15:00:00,Truck,South,Clear,19.17,5.2,448.74,
SHIP1466,2026-05-16 22:00:00,Van,Central,Clear,14.29,3.97,660.91,2.0
SHIP1467,2026-05-17 05:00:00,Mini-Truck,North,Clear,15.23,4.26,321.18,4.0
SHIP1468,2026-05-17 12:00:00,Van,North,Clear,23.83,4.88,,2.0
SHIP1469,2026-05-17 19:00:00,Mini-Truck,East,Clear,16.6,4.19,439.54,3.0
SHIP1470,2026-05-18 02:00:00,Van,East,Clear,15.45,4.31,529.64,3.0
SHIP1471,2026-05-18 09:00:00,Mini-Truck,Central,Rain,17.85,3.3,505.64,5.0
SHIP1472,2026-05-18 16:00:00,Van,North,Clear,25.09,3.95,493.28,3.0
SHIP1473,2026-05-18 23:00:00,Mini-Truck,Central,Rain,12.46,2.8,454.1,
SHIP1474,2026-05-19 06:00:00,Truck,East,Clear,17.47,3.09,544.38,
SHIP1475,2026-05-19 13:00:00,Mini-Truck,East,Clear,19.96,5.86,100.36,1.0
SHIP1476,2026-05-19 20:00:00,Van,North,Fog,,2.53,359.9,3.0
SHIP1477,2026-05-20 03:00:00,Truck,West,Clear,16.09,3.69,438.77,4.0
SHIP1478,2026-05-20 10:00:00,Mini-Truck,South,Clear,12.26,3.64,534.54,1.0
SHIP1479,2026-05-20 17:00:00,Truck,East,Clear,14.13,3.13,628.77,5.0
SHIP1480,2026-05-21 00:00:00,Bike,East,Clear,26.42,4.12,343.79,4.0
SHIP1481,2026-05-21 07:00:00,Bike,West,Clear,34.27,4.21,624.85,2.0
SHIP1482,2026-05-21 14:00:00,Truck,West,Clear,7.49,2.39,,2.0
SHIP1483,2026-05-21 21:00:00,Bike,Central,Fog,9.24,3.62,434.41,2.0
SHIP1484,2026-05-22 04:00:00,Truck,Central,Clear,16.65,2.2,519.77,4.0
SHIP1485,2026-05-22 11:00:00,mini-truck,South,Clear,18.89,4.45,425.61,4.0
SHIP1486,2026-05-22 18:00:00,Van,South,Clear,24.3,3.71,583.21,4.0
SHIP1487,2026-05-23 01:00:00,Van,North,Rain,10.87,3.6,401.45,1.0
SHIP1488,2026-05-23 08:00:00,Mini-Truck,Central,Clear,9.5,4.29,403.26,1.0
SHIP1489,2026-05-23 15:00:00,Mini-Truck,East,Clear,19.1,3.17,576.24,2.0
SHIP1490,2026-05-23 22:00:00,Truck,Central,Clear,15.93,4.6,358.43,3.0
SHIP1491,2026-05-24 05:00:00,Bike,East,Fog,25.41,2.36,479.87,2.0
SHIP1492,2026-05-24 12:00:00,van,West,Clear,21.9,5.19,250.74,5.0
SHIP1493,2026-05-24 19:00:00,Van,Central,Clear,22.44,2.84,668.36,1.0
SHIP1494,2026-05-25 02:00:00,Truck,West,Clear,369.0529104114106,1.46,594.79,4.0
SHIP1495,2026-05-25 09:00:00,truck,South,Rain,36.84,3.11,780.01,1.0
SHIP1496,2026-05-25 16:00:00,Truck,South,Clear,11.3,2.97,610.6,4.0
SHIP1497,2026-05-25 23:00:00,Van,North,Clear,22.89,3.1,314.44,5.0
SHIP1498,2026-05-26 06:00:00,Mini-Truck,Central,Rain,7.84,,530.24,5.0
SHIP1499,2026-05-26 13:00:00,Mini-Truck,West,Rain,9.41,,339.84,1.0
SHIP1304,2026-03-30 16:00:00,Bike,North,Fog,22.71,2.16,536.69,3.0
SHIP1340,2026-04-10 04:00:00,Truck,West,Fog,24.65,4.39,248.77,1.0
SHIP1047,2026-01-14 17:00:00,Truck,Central,Clear,11.72,2.89,659.4,5.0
SHIP1067,2026-01-20 13:00:00,Bike,East,Clear,20.5,2.75,584.79,2.0
SHIP1479,2026-05-20 17:00:00,Truck,East,Clear,14.13,3.13,628.77,5.0
SHIP1485,2026-05-22 11:00:00,Mini-Truck,South,Clear,18.89,4.45,425.61,4.0
SHIP1310,2026-04-01 10:00:00,Truck,East,Clear,17.01,2.87,,5.0
SHIP1031,2026-01-10 01:00:00,Van,North,Fog,19.33,4.05,501.96,2.0
SHIP1249,2026-03-14 15:00:00,Mini-Truck,East,Fog,28.99,3.1,,
SHIP1090,2026-01-27 06:00:00,Van,North,Rain,34.39,2.95,438.93,
